url,words,no_of_forms,no_of_iframes,missing_title,title_length,favicon,status,domain_length,domain_tld,domain_digits,domain_dots,domain_hyphens,domain_special,is_subdir,length,protocol,digits,specials,dots,hyphens,single_slashes,commas,tlides,qms,ands,eqs,underscores,percentages,www,domain_ratio,ratio
http://rgipt.ac.in,2,1,0,0,12,1,0,11,ac.in,0,2,0,2,0,18,1,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0
http://www.mutuo.it,4,1,0,0,6,1,0,12,it,0,2,0,2,0,19,1,0,5,2,0,2,0,0,0,0,0,0,0,1,0,0
http://vamoaestudiarmedicina.blogspot.com/,4,0,0,0,4,1,0,34,com,0,2,0,2,0,42,1,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0
https://www.astrologyonline.eu/Astro_MemoNew/Profilo.asp,7,0,0,0,5,0,0,22,eu,0,2,0,2,1,56,2,0,9,3,0,4,0,0,0,0,0,1,0,1,0,0
https://www.lifewire.com/tcp-port-21-818146,6,4,2,0,10,1,0,16,com,0,2,0,2,1,43,2,8,9,2,3,3,0,0,0,0,0,0,0,1,0,3.25
https://technofizi.net/top-best-mp3-downloader-app-for-android-free-music-download/,12,3,2,0,10,1,0,14,net,0,1,0,1,1,83,2,1,15,1,9,4,0,0,0,0,0,0,0,0,0,67.0
https://www.chiefarchitect.com/,5,4,1,0,7,1,0,22,com,0,2,0,2,0,31,2,0,6,2,0,3,0,0,0,0,0,0,0,1,0,0
https://blog.hubspot.com/marketing/email-open-click-rate-benchmark,5,3,0,0,11,1,0,16,com,0,2,0,2,1,66,2,0,11,2,4,4,0,0,0,0,0,0,0,0,0,0
https://www.provenancevineyards.com/,5,0,0,0,2,1,0,27,com,0,2,0,2,0,36,2,0,6,2,0,3,0,0,0,0,0,0,0,1,0,0
http://www.online-tech-tips.com/computer-tips/how-to-change-mac-address/,9,3,0,0,11,1,0,24,com,0,2,2,4,1,72,1,0,15,2,7,5,0,0,0,0,0,0,0,1,0,0
http://www.enkiquotes.com/,4,4,0,0,7,1,0,18,com,0,2,0,2,0,26,1,0,6,2,0,3,0,0,0,0,0,0,0,1,0,0
https://www.chiostrodelbramante.it/,4,0,1,0,5,1,0,26,it,0,2,0,2,0,35,2,0,6,2,0,3,0,0,0,0,0,0,0,1,0,0
http://yummy-cummy-in-my-tummy.tumblr.com,5,1,3,0,3,1,0,34,com,0,2,4,6,0,41,1,0,9,2,4,2,0,0,0,0,0,0,0,0,0,0
http://www.j-net.cn/cms,4,2,0,0,3,1,0,12,cn,0,2,1,3,1,23,1,0,7,2,1,3,0,0,0,0,0,0,0,1,0,0
http://press-preview.weebly.com,5,0,0,0,4,0,0,24,com,0,2,1,3,0,31,1,0,6,2,1,2,0,0,0,0,0,0,0,0,0,0
http://taccs.hu,2,1,0,0,2,1,0,8,hu,0,1,0,1,0,15,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0
http://wiki.openstreetmap.org/wiki/Databases_and_data_access_APIs,8,1,0,0,8,1,0,22,org,0,2,0,2,1,65,1,0,11,2,0,4,0,0,0,0,0,4,0,0,0,0
https://www.merriam-webster.com/dictionary/tabloid,9,3,1,0,6,1,0,23,com,0,2,1,3,1,50,2,0,8,2,1,4,0,0,0,0,0,0,0,1,0,0
https://ru.wikipedia.org/wiki/MultiMedia_Card,6,1,0,0,4,1,0,16,org,0,2,0,2,1,45,2,0,8,2,0,4,0,0,0,0,0,1,0,0,0,0
http://searchnetworking.techtarget.com/tip/Comparisons-of-coaxial-cable-fiber-optic-cable-and-twisted-pair-cable,13,1,2,0,9,1,0,31,com,0,2,0,2,1,112,1,0,17,2,10,4,0,0,0,0,0,0,0,0,0,0
http://www.excel-easy.com/examples/shortest-path-problem.html,7,1,0,0,8,0,0,18,com,0,2,1,3,1,61,1,0,11,3,3,4,0,0,0,0,0,0,0,1,0,0
http://stattrek.com/statistics/dictionary.aspx?definition=standard%20error,10,0,0,0,2,1,0,12,com,0,1,0,1,1,74,1,2,10,2,0,4,0,0,1,0,1,0,1,0,0,31.0
http://www.flaticon.com/free-icons/parking_403,5,5,0,0,4,1,0,16,com,0,2,0,2,1,46,1,3,9,2,1,4,0,0,0,0,0,1,0,1,0,11.33
