Unnamed: 0,Year,Mileage,Price,Make_Chevrolet,Make_Ford,Make_Honda,Make_Nissan,Make_Toyota,Model_Altima,Model_Camry,Model_Civic,Model_F-150,Model_Silverado,Condition_Excellent,Condition_Fair,Condition_Good
1,2014,13578,27321.1,False,False,False,False,True,False,False,False,False,True,True,False,False
2,2016,46054,23697.3,True,False,False,False,False,False,False,True,False,False,False,False,True
3,2022,34981,18251.05,False,True,False,False,False,False,False,True,False,False,True,False,False
4,2019,63565,19821.85,True,False,False,False,False,False,False,True,False,False,True,False,False
5,2013,23600,27820.0,False,True,False,False,False,False,False,False,False,True,True,False,False
6,2014,11470,27426.6,False,False,False,False,True,True,False,False,False,False,True,False,False
7,2015,89471,22526.55,True,False,False,False,False,False,False,False,False,True,False,False,True
8,2014,121298,21935.1,False,True,False,False,False,False,True,False,False,False,False,False,True
9,2016,110691,20465.45,False,True,False,False,False,True,False,False,False,False,True,False,False
10,2019,112693,17365.449999999997,False,False,False,False,True,True,False,False,False,False,True,False,False
11,2016,101914,20904.4,False,False,False,True,False,False,False,False,False,True,False,False,True
12,2012,79902,26005.0,False,False,False,False,True,False,False,False,False,True,True,False,False
13,2021,97489,16125.65,True,False,False,False,False,False,False,False,False,True,True,False,False
14,2014,72976,24351.3,False,False,False,False,True,False,False,False,True,False,True,False,False
15,2022,40633,17968.35,False,True,False,False,False,False,False,False,True,False,False,False,True
16,2017,48281,22586.05,True,False,False,False,False,False,False,False,True,False,False,True,False
17,2020,33054,20347.4,False,False,False,True,False,True,False,False,False,False,False,False,True
18,2010,121446,25927.8,True,False,False,False,False,False,True,False,False,False,True,False,False
19,2013,61672,25916.4,False,False,False,True,False,False,False,True,False,False,False,False,True
20,2015,126395,20680.35,False,True,False,False,False,False,False,False,False,True,False,False,True
21,2021,119784,15010.8,False,False,False,True,False,False,True,False,False,False,True,False,False
22,2014,148697,20565.15,True,False,False,False,False,False,False,False,False,True,False,False,True
23,2020,100665,16966.65,False,False,False,True,False,True,False,False,False,False,False,False,True
24,2010,66951,28652.45,False,True,False,False,False,False,False,True,False,False,True,False,False
25,2017,65559,21722.15,False,False,False,False,True,False,False,False,True,False,True,False,False
26,2018,69109,20544.55,False,True,False,False,False,False,False,False,False,True,True,False,False
27,2013,75631,25218.55,False,True,False,False,False,False,True,False,False,False,False,False,True
28,2022,34080,18296.0,False,False,True,False,False,False,False,True,False,False,True,False,False
29,2011,134672,24266.5,False,False,True,False,False,False,False,False,True,False,False,True,False
30,2011,54295,28285.25,False,False,True,False,False,False,False,False,True,False,True,False,False
31,2022,20693,18965.45,False,True,False,False,False,True,False,False,False,False,True,False,False
32,2010,63740,28813.1,False,False,True,False,False,False,True,False,False,False,True,False,False
33,2019,117503,17124.949999999997,False,False,False,False,True,False,False,False,False,True,False,False,True
34,2017,81466,20926.8,True,False,False,False,False,False,True,False,False,False,True,False,False
35,2013,106330,23683.4,True,False,False,False,False,True,False,False,False,False,True,False,False
36,2020,43785,19810.75,True,False,False,False,False,False,False,False,True,False,True,False,False
37,2013,102118,23894.1,True,False,False,False,False,False,False,False,False,True,True,False,False
38,2013,96202,24189.9,False,False,False,True,False,False,True,False,False,False,True,False,False
39,2019,133627,16318.75,True,False,False,False,False,False,False,True,False,False,False,True,False
40,2020,131994,15400.4,False,False,False,False,True,False,False,True,False,False,True,False,False
41,2022,38705,18064.85,False,True,False,False,False,False,True,False,False,False,False,True,False
42,2021,139945,14002.85,False,False,False,False,True,False,True,False,False,False,False,False,True
43,2016,69108,22544.7,False,False,True,False,False,False,False,False,False,True,False,True,False
44,2011,17149,30142.65,False,False,False,True,False,False,False,False,True,False,False,False,True
45,2013,53165,26341.85,False,False,False,False,True,False,False,False,True,False,False,True,False
46,2010,105649,26717.55,False,True,False,False,False,False,True,False,False,False,True,False,False
47,2014,72408,24379.6,False,False,False,False,True,True,False,False,False,False,False,False,True
48,2014,88835,23558.35,False,False,False,False,True,False,False,True,False,False,False,False,True
49,2022,17332,19133.5,False,False,True,False,False,False,False,True,False,False,True,False,False
50,2010,123884,25805.7,False,False,False,False,True,False,False,False,True,False,True,False,False
51,2018,40238,21988.2,False,False,True,False,False,False,True,False,False,False,True,False,False
52,2021,36817,19159.15,False,False,False,False,True,True,False,False,False,False,True,False,False
